Age_Group,ProductName,ProductName_Code,OrderNum
21-30,天王卡,5,1886
21-30,腾讯大王卡,1,25369
21-30,腾讯地王卡,4,2034
31-40,腾讯亲情卡,6,1040
11-20,腾讯大王卡,1,14022
11-20,大王超级会员卡,2,4374
11-20,腾讯地王卡,4,695
31-40,腾讯大王卡,1,7752
21-30,大王超级会员卡,2,2574
11-20,天王卡,5,641
11-20,腾讯亲情卡,6,576
41-50,天王卡,5,143
21-30,腾讯亲情卡,6,2178
51-60,腾讯大王卡,1,1215
41-50,腾讯大王卡,1,4296
31-40,天王卡,5,528
31-40,腾讯地王卡,4,481
41-50,大王超级会员卡,2,391
31-40,大王超级会员卡,2,467
41-50,腾讯亲情卡,6,306
41-50,腾讯地王卡,4,197
51-60,大王超级会员卡,2,58
61-70,腾讯大王卡,1,184
61-70,腾讯亲情卡,6,9
61-70,大王超级会员卡,2,19
81-90,大王超级会员卡,2,1
51-60,腾讯地王卡,4,61
51-60,腾讯亲情卡,6,61
51-60,天王卡,5,43
11-20,腾讯大王卡回归,3,10
21-30,腾讯大王卡回归,3,7
71-80,天王卡,5,3
71-80,腾讯地王卡,4,3
61-70,腾讯地王卡,4,10
0-10,腾讯大王卡,1,10
71-80,大王超级会员卡,2,8
61-70,天王卡,5,7
81-90,腾讯大王卡,1,2
71-80,腾讯大王卡,1,26
81-90,腾讯亲情卡,6,3
81-90,腾讯地王卡,4,1
31-40,腾讯大王卡回归,3,2
81-90,天王卡,5,1
91-100,腾讯大王卡,1,1
