Time,Month,Day,OrderNum
201805,5,1,851
201805,5,2,821
201805,5,3,747
201805,5,4,705
201805,5,5,767
201805,5,6,726
201805,5,7,742
201805,5,8,653
201805,5,9,651
201805,5,10,697
201805,5,11,718
201805,5,12,666
201805,5,13,682
201805,5,14,638
201805,5,15,582
201805,5,16,603
201805,5,17,580
201805,5,18,722
201805,5,19,602
201805,5,20,561
201805,5,21,649
201805,5,22,593
201805,5,23,652
201805,5,24,727
201805,5,25,1037
201805,5,26,1029
201805,5,27,660
201805,5,28,787
201805,5,29,774
201805,5,30,816
201805,5,31,960
201806,6,1,802
201806,6,2,622
201806,6,3,599
201806,6,4,746
201806,6,5,773
201806,6,6,4228
201806,6,7,1427
201806,6,8,1152
201806,6,9,976
201806,6,10,891
201806,6,11,1046
201806,6,12,1036
201806,6,13,950
201806,6,14,855
201806,6,15,757
201806,6,16,786
201806,6,17,931
201806,6,18,916
201806,6,19,777
201806,6,20,1220
201806,6,21,888
201806,6,22,1247
201806,6,23,915
201806,6,24,910
201806,6,25,810
201806,6,26,806
201806,6,27,771
201806,6,28,801
201806,6,29,752
201806,6,30,699
201807,7,1,795
201807,7,2,725
201807,7,3,656
201807,7,4,762
201807,7,5,679
201807,7,6,757
201807,7,7,635
201807,7,8,622
201807,7,9,755
201807,7,10,858
201807,7,11,664
201807,7,12,678
201807,7,13,597
201807,7,14,579
201807,7,15,662
201807,7,16,560
201807,7,17,588
201807,7,18,741
201807,7,19,762
201807,7,20,687
201807,7,21,565
201807,7,22,531
201807,7,23,537
201807,7,24,478
201807,7,25,482
201807,7,26,529
201807,7,27,440
201807,7,28,493
201807,7,29,439
201807,7,30,491
201807,7,31,461
